;duration;gross;budget;imdb_score;movie_facebook_likes;color;content_rating;country;language
80;124.0;312057433.0;200000000;7.0;18000;Color;PG-13;USA;English
81;132.0;155111815.0;170000000;6.1;53000;Color;PG-13;USA;English
82;97.0;241407328.0;180000000;7.0;89000;Color;PG;USA;English
83;130.0;208543795.0;170000000;7.6;45000;Color;PG-13;USA;English
85;128.0;38297305.0;175000000;6.3;35000;Color;PG-13;USA;English
86;136.0;259746958.0;170000000;7.8;55000;Color;PG-13;USA;English
87;93.0;238371987.0;165000000;6.4;0;Color;PG;USA;English
88;130.0;93417865.0;190000000;6.5;37000;Color;PG;USA;English
89;102.0;222487711.0;165000000;7.9;41000;Color;PG;USA;English
90;101.0;189412677.0;165000000;7.8;40000;Color;PG;USA;English
91;100.0;665426.0;165000000;6.6;10000;Color;G;USA;English
92;120.0;102315545.0;165000000;5.5;67000;Color;PG-13;USA;English
93;98.0;217387997.0;165000000;8.2;33000;Color;PG;USA;English
94;109.0;150350192.0;200000000;6.4;0;Color;R;USA;English
95;121.0;333130696.0;170000000;8.1;96000;Color;PG-13;USA;English
96;169.0;187991439.0;165000000;8.6;349000;Color;PG-13;USA;English
97;148.0;292568851.0;160000000;8.8;175000;Color;PG-13;USA;English
100;106.0;144512310.0;38000000;6.7;14000;Color;PG-13;USA;English
101;166.0;127490802.0;150000000;7.8;23000;Color;PG-13;USA;English
102;132.0;146405371.0;160000000;7.8;54000;Color;PG-13;USA;English
103;137.0;281666058.0;160000000;6.6;38000;Color;PG-13;USA;English
104;109.0;63143812.0;150000000;6.1;11000;Color;PG;USA;English
105;98.0;60655503.0;160000000;5.6;0;Color;PG-13;USA;English
106;113.0;76846624.0;170000000;6.4;30000;Color;PG;USA;English
107;93.0;320706665.0;160000000;6.1;0;Color;PG;USA;English
108;123.0;46978995.0;160000000;7.3;89000;Color;PG-13;USA;English
109;126.0;89732035.0;155000000;6.6;82000;Color;PG-13;USA;English
110;113.0;104383624.0;155000000;6.3;11000;Color;PG;USA;English
111;184.0;198539855.0;140000000;6.1;0;BlackandWhite;PG-13;USA;English
112;144.0;318759914.0;150000000;7.1;8000;Color;PG-13;USA;English
113;206.0;34293771.0;155000000;5.5;0;Color;R;Germany;English
114;138.0;292000866.0;150000000;7.5;0;Color;PG-13;UK;English
115;157.0;289994397.0;150000000;7.6;0;Color;PG-13;UK;English
116;102.0;227946274.0;150000000;6.4;0;Color;PG-13;USA;English
117;104.0;256386216.0;150000000;7.2;11000;Color;PG-13;USA;English
118;115.0;206456431.0;150000000;6.7;0;Color;PG;USA;English
119;111.0;206435493.0;150000000;8.0;10000;Color;G;USA;English
120;128.0;205343774.0;150000000;8.3;15000;Color;PG-13;USA;English
121;89.0;179982968.0;150000000;6.7;0;Color;PG;USA;English
122;105.0;177243721.0;150000000;5.9;2000;Color;PG;USA;English
123;119.0;179883016.0;150000000;6.7;0;Color;PG-13;USA;English
124;129.0;139259759.0;150000000;6.7;0;Color;R;Australia;English
125;102.0;400736600.0;150000000;7.6;58000;Color;PG;USA;English
126;138.0;281492479.0;150000000;7.2;0;Color;R;USA;English
127;112.0;206360018.0;170000000;7.1;63000;Color;PG-13;USA;English
128;120.0;153629485.0;150000000;8.1;191000;Color;R;Australia;English
129;146.0;133375846.0;150000000;6.7;0;Color;PG-13;USA;English
130;115.0;181015141.0;150000000;7.0;63000;Color;PG-13;USA;English
131;96.0;114053579.0;150000000;6.9;0;Color;PG;USA;English
132;88.0;119420252.0;150000000;5.1;0;Color;PG;USA;English
133;99.0;83640426.0;150000000;5.8;19000;Color;PG-13;USA;English
134;113.0;79711678.0;100000000;6.2;82000;Color;PG-13;USA;English
135;131.0;195000874.0;150000000;7.4;47000;Color;PG-13;China;English
136;119.0;61937495.0;150000000;5.8;0;Color;R;USA;English
137;110.0;124051759.0;180000000;6.6;29000;Color;PG-13;USA;English
138;91.0;126597121.0;150000000;6.2;0;Color;PG;USA;English
139;90.0;165230261.0;150000000;7.3;20000;Color;PG;USA;English
140;103.0;131564731.0;150000000;4.2;18000;Color;PG;USA;English
141;124.0;133382309.0;150000000;6.9;0;Color;PG-13;USA;English
142;131.0;73103784.0;150000000;6.4;33000;Color;PG-13;USA;English
143;88.0;21379315.0;150000000;5.4;0;Color;PG;USA;English
144;85.0;64459316.0;149000000;6.7;0;Color;PG;UK;English
145;111.0;34964818.0;150000000;5.8;24000;Color;PG;USA;English
146;92.0;111505642.0;145000000;6.9;11000;Color;PG;USA;English
147;196.0;133228348.0;175000000;7.2;0;Color;R;USA;English
148;93.0;216366733.0;145000000;6.9;17000;Color;PG;USA;English
149;133.0;160201106.0;142000000;6.1;0;BlackandWhite;PG-13;UK;English
150;116.0;118099659.0;144000000;5.5;62000;Color;PG-13;USA;English
151;153.0;201573391.0;140000000;6.6;11000;Color;PG-13;USA;English
152;88.0;190418803.0;140000000;6.1;2000;Color;PG-13;USA;English
153;115.0;82161969.0;150000000;6.3;3000;Color;PG-13;USA;English
154;95.0;143523463.0;145000000;7.2;24000;Color;PG;USA;English
155;133.0;209364921.0;145000000;7.4;35000;Color;PG-13;USA;English
156;97.0;103400692.0;145000000;7.3;25000;Color;PG;USA;English
157;90.0;110332737.0;100000000;6.1;2000;Color;PG-13;USA;English
158;154.0;111110575.0;140000000;7.7;0;Color;R;USA;English
159;150.0;65007045.0;140000000;6.1;51000;Color;PG-13;UK;English
160;127.0;257704099.0;150000000;8.0;19000;Color;PG-13;USA;English
161;121.0;403706375.0;139000000;7.3;5000;Color;PG-13;USA;English
162;102.0;176997107.0;145000000;7.9;46000;Color;PG;USA;English
163;126.0;31141074.0;140000000;5.5;24000;Color;PG-13;USA;English
164;121.0;31704416.0;135000000;5.0;0;Color;PG-13;USA;English
165;215.0;107503316.0;130000000;7.7;18000;Color;R;USA;English
166;127.0;129734803.0;140000000;6.6;0;Color;R;USA;English
167;138.0;132122995.0;137000000;5.7;0;Color;PG-13;USA;English
168;122.0;122512052.0;130000000;5.8;42000;Color;PG-13;USA;English
169;124.0;68642452.0;130000000;6.0;0;Color;PG-13;UK;English
170;106.0;32131830.0;137000000;6.4;0;Color;PG-13;USA;English
171;124.0;176636816.0;140000000;6.9;46000;Color;PG-13;USA;English
172;128.0;126930660.0;135000000;6.4;2000;Color;PG-13;UK;English
173;138.0;93926386.0;150000000;7.4;0;Color;PG-13;USA;English
174;115.0;292298923.0;120000000;5.5;65000;Color;PG-13;USA;English
175;100.0;63992328.0;135000000;5.9;0;Color;PG;Australia;English
176;135.0;134518390.0;150000000;6.8;0;Color;PG-13;USA;English
178;117.0;52792307.0;140000000;6.8;27000;Color;PG;UK;English
179;156.0;183635922.0;135000000;8.1;190000;Color;R;USA;English
180;96.0;83024900.0;135000000;6.5;13000;Color;PG;USA;English
181;107.0;123207194.0;135000000;7.2;26000;Color;PG;USA;English
182;92.0;83348920.0;132000000;6.7;11000;Color;PG;USA;English
183;115.0;227137090.0;110000000;8.1;0;Color;PG-13;USA;English
184;92.0;215395021.0;130000000;7.6;6000;Color;PG;USA;English
185;117.0;180191634.0;130000000;7.4;61000;Color;PG-13;USA;English
186;146.0;424645577.0;130000000;7.6;82000;Color;PG-13;USA;English
187;115.0;292298923.0;120000000;5.5;65000;Color;PG-13;USA;English
188;94.0;177343675.0;135000000;6.7;26000;Color;PG;USA;English
189;116.0;234277056.0;132000000;6.5;0;Color;PG-13;USA;English
190;147.0;138396624.0;130000000;6.6;0;Color;R;USA;English
191;90.0;149234747.0;130000000;6.7;16000;Color;PG;USA;English
192;101.0;118311368.0;110000000;6.4;23000;Color;PG-13;USA;English
193;138.0;101160529.0;125000000;5.8;71000;Color;PG-13;USA;English
194;107.0;77564037.0;135000000;7.4;44000;Color;PG;USA;English
195;142.0;249358727.0;130000000;7.8;11000;Color;PG;UK;English
196;165.0;49551662.0;130000000;6.6;0;Color;PG-13;Australia;English
197;100.0;60522097.0;130000000;4.9;37000;Color;PG-13;USA;English
198;82.0;137748063.0;127500000;6.5;0;Color;PG;USA;English
200;98.0;113733726.0;127000000;6.2;11000;Color;PG;USA;English
201;95.0;148337537.0;130000000;7.3;13000;Color;PG;USA;English
202;159.0;317557891.0;125000000;7.5;16000;Color;PG;UK;English
203;96.0;33592415.0;130000000;5.6;20000;Color;PG-13;USA;English
205;143.0;305388685.0;140000000;8.1;10000;Color;PG-13;USA;English
207;123.0;337103873.0;125000000;6.7;52000;Color;PG-13;USA;English
208;174.0;217536138.0;125000000;6.6;0;Color;PG-13;USA;English
209;101.0;131536019.0;103000000;6.4;0;Color;G;USA;English
210;134.0;214948780.0;110000000;7.5;0;Color;PG-13;Canada;English
211;132.0;209805005.0;125000000;7.3;54000;Color;PG-13;USA;English
212;129.0;186830669.0;125000000;7.5;39000;Color;PG-13;USA;English
213;106.0;163192114.0;125000000;5.8;15000;Color;PG-13;USA;English
214;113.0;119412921.0;65000000;7.5;0;Color;R;USA;English
215;102.0;32694788.0;85000000;6.6;0;Color;R;USA;English
216;135.0;113165635.0;125000000;6.7;31000;Color;PG-13;USA;English
217;125.0;107285004.0;125000000;3.7;0;Color;PG-13;USA;English
218;110.0;260031035.0;123000000;6.0;0;Color;PG;USA;English
219;124.0;186739919.0;125000000;6.4;19000;Color;PG-13;USA;English
220;123.0;215397307.0;125000000;6.1;0;Color;PG-13;USA;English
221;130.0;182618434.0;140000000;6.4;0;Color;PG-13;USA;English
222;92.0;131920333.0;130000000;5.6;0;Color;PG;USA;English
223;127.0;124976634.0;120000000;8.0;122000;Color;PG;USA;English
224;123.0;115802596.0;110000000;5.2;0;Color;PG-13;USA;English
225;123.0;108521835.0;120000000;7.1;31000;Color;PG-13;UK;English
226;107.0;100685880.0;120000000;4.8;0;Color;PG-13;USA;English
227;124.0;126464904.0;130000000;7.0;97000;Color;R;USA;English
228;77.0;64736114.0;120000000;5.4;459;Color;PG;USA;English
229;109.0;93050117.0;115000000;6.6;61000;Color;R;USA;English
230;134.0;57637485.0;105000000;6.7;0;Color;PG-13;USA;English
231;117.0;58607007.0;100000000;6.2;60000;Color;PG-13;USA;English
232;135.0;43929341.0;120000000;6.1;0;Color;PG;USA;English
233;121.0;30212620.0;120000000;5.3;0;Color;PG-13;USA;English
234;117.0;76418654.0;117000000;6.3;11000;Color;PG-13;USA;English
235;124.0;89021735.0;120000000;7.0;71000;Color;PG-13;USA;English
236;140.0;380262555.0;113000000;7.6;10000;Color;PG-13;USA;English
237;142.0;310675583.0;115000000;6.7;0;Color;PG;USA;English
238;92.0;289907418.0;115000000;8.1;0;Color;G;USA;English
239;138.0;132550960.0;120000000;6.7;68000;Color;PG-13;USA;English
240;136.0;474544677.0;115000000;6.5;13000;Color;PG;USA;English
241;98.0;187165546.0;135000000;7.3;28000;Color;PG;USA;English
243;153.0;40911830.0;115000000;6.0;0;Color;R;USA;English
244;120.0;47952020.0;115000000;6.1;16000;Color;PG-13;USA;English
245;101.0;190871240.0;125000000;5.9;62000;Color;PG-13;USA;English
246;91.0;274084951.0;100000000;7.8;147000;Color;PG-13;UK;English
247;108.0;67155742.0;116000000;5.8;0;Color;PG-13;USA;English
249;100.0;56114221.0;120000000;4.3;41000;Color;PG-13;USA;English
250;108.0;250863268.0;110000000;6.4;3000;Color;PG;USA;English
251;114.0;155181732.0;110000000;6.1;52000;Color;PG-13;USA;English
252;119.0;125332007.0;110000000;6.5;0;Color;PG-13;UK;English
253;142.0;113330342.0;110000000;7.1;4000;Color;R;USA;English
254;125.0;125531634.0;110000000;6.4;0;Color;PG-13;USA;English
255;126.0;186336103.0;120000000;6.5;0;Color;PG-13;USA;English
256;119.0;129995817.0;110000000;6.3;27000;Color;PG-13;USA;English
257;170.0;102608827.0;110000000;7.5;0;BlackandWhite;PG-13;USA;English
258;85.0;42776259.0;112000000;4.9;0;Color;PG;USA;English
259;119.0;98780042.0;120000000;5.8;14000;Color;PG-13;USA;English
261;102.0;106369117.0;110000000;6.2;71000;Color;R;USA;English
262;103.0;142614158.0;110000000;5.5;31000;Color;PG;USA;English
263;76.0;50026353.0;110000000;5.4;304;Color;PG;USA;English
264;120.0;66002193.0;110000000;5.8;12000;Color;PG-13;USA;English
265;127.0;85463309.0;110000000;7.1;36000;Color;PG-13;USA;English
266;105.0;71017784.0;105000000;5.4;0;Color;PG;USA;English
267;121.0;48068396.0;160000000;3.7;894;Color;PG-13;USA;English
268;114.0;61656849.0;110000000;6.7;123000;Color;PG-13;USA;English
269;129.0;134520804.0;110000000;7.2;0;Color;PG-13;USA;English
270;171.0;313837577.0;93000000;8.8;21000;Color;PG-13;NewZealand;English
271;120.0;24004159.0;110000000;5.8;0;Color;PG;USA;English
272;165.0;58183966.0;107000000;6.8;0;BlackandWhite;R;USA;English
273;82.0;100446895.0;109000000;3.8;946;Color;PG;USA;English
274;115.0;144795350.0;120000000;7.1;0;Color;PG-13;USA;English
275;194.0;47396698.0;130000000;7.2;0;Color;R;USA;English
276;84.0;140015224.0;133000000;5.9;0;Color;PG;Germany;English
277;97.0;104374107.0;105000000;7.1;5000;Color;G;USA;English
278;151.0;228430993.0;108000000;8.1;153000;Color;PG-13;USA;English
280;136.0;35799026.0;126000000;6.9;0;Color;PG-13;USA;English
281;104.0;6712451.0;90000000;4.4;53;Color;R;NewLine;English
282;127.0;101643008.0;90000000;6.5;0;Color;PG-13;USA;English
283;171.0;187670866.0;103000000;8.5;21000;Color;R;USA;English
284;145.0;132014112.0;102000000;7.7;0;Color;PG-13;USA;English
285;174.0;261970615.0;100000000;7.4;0;Color;PG;UK;English
286;144.0;167007184.0;150000000;8.0;0;BlackandWhite;PG-13;UK;English
287;119.0;180011740.0;100000000;5.7;0;Color;PG-13;USA;English
288;153.0;204843350.0;102000000;8.5;13000;Color;R;USA;English
289;140.0;97030725.0;100000000;7.0;0;Color;R;USA;English
290;176.0;130127620.0;100000000;7.8;0;Color;R;USA;English
291;141.0;146282411.0;115000000;7.2;0;Color;R;USA;English
292;106.0;65452312.0;100000000;6.4;0;Color;R;USA;English
293;98.0;148383780.0;100000000;5.5;0;Color;PG-13;USA;English
294;116.0;119219978.0;100000000;6.7;16000;Color;PG-13;USA;English
295;115.0;101228120.0;100000000;6.1;0;Color;R;USA;English
296;165.0;162804648.0;100000000;8.5;199000;Color;R;USA;English
297;91.0;100117603.0;100000000;6.9;0;Color;G;USA;English
298;78.0;89296573.0;100000000;7.3;0;Color;G;USA;English
299;103.0;85017401.0;92000000;6.7;108000;Color;R;USA;English
300;131.0;173005002.0;100000000;6.9;0;Color;PG;USA;English
301;104.0;75030163.0;100000000;5.1;0;BlackandWhite;PG;USA;English
302;101.0;77222184.0;100000000;6.8;11000;Color;PG;Germany;English
303;111.0;34964818.0;150000000;5.8;24000;Color;PG;USA;English
304;102.0;107515297.0;100000000;6.7;17000;Color;PG;USA;English
305;103.0;67631157.0;100000000;6.0;25000;Color;PG-13;USA;English
306;121.0;66862068.0;83000000;5.7;2000;Color;R;USA;English
307;143.0;57366262.0;100000000;8.0;14000;Color;R;Germany;English
308;240.0;116866727.0;100000000;8.2;138000;Color;R;USA;English
309;121.0;184031112.0;100000000;5.4;0;Color;PG-13;USA;English
310;129.0;54700065.0;105000000;7.2;0;Color;R;USA;English
311;172.0;27098580.0;102000000;7.5;124000;Color;R;Germany;English
312;101.0;55673333.0;80000000;7.0;16000;Color;PG;USA;English
313;87.0;40198710.0;100000000;3.3;0;Color;PG-13;USA;English
314;101.0;72660029.0;100000000;6.0;21000;Color;PG-13;USA;English
315;95.0;38120554.0;140000000;7.1;0;Color;PG;USA;English
316;102.0;49392095.0;100000000;5.4;0;Color;PG-13;USA;English
317;131.0;39292022.0;90000000;6.1;56000;Color;PG-13;USA;English
318;114.0;28772222.0;105000000;5.3;37000;Color;PG-13;USA;English
319;94.0;17010646.0;84000000;2.2;881;Color;PG;USA;English
320;122.0;24985612.0;100000000;7.0;27000;Color;PG-13;USA;English
321;95.0;4411102.0;100000000;3.8;416;Color;PG-13;USA;English
322;115.0;35024475.0;100000000;6.9;0;Color;R;France;English
323;88.0;130174897.0;99000000;7.2;33000;Color;G;USA;English
324;110.0;10200000.0;10000000;7.3;578;Color;PG;USA;English
325;130.0;202007640.0;98000000;6.3;0;Color;PG-13;USA;English
326;216.0;77679638.0;100000000;7.5;0;Color;R;USA;English
327;146.0;9213.0;94000000;7.6;13000;Color;R;China;Mandarin
328;85.0;58867694.0;100000000;6.8;0;Color;PG;USA;English
329;93.0;59475623.0;90000000;5.2;0;Color;PG-13;USA;English
330;152.0;108638745.0;92000000;7.7;10000;Color;R;USA;English
331;85.0;86897182.0;95000000;6.2;18000;Color;R;USA;English
332;126.0;63540020.0;93000000;7.7;18000;Color;PG-13;France;English
333;146.0;95328937.0;100000000;4.3;0;Color;R;USA;English
334;89.0;50802661.0;95000000;6.9;0;Color;PG;USA;English
335;88.0;161317423.0;95000000;6.6;14000;Color;PG;USA;English
336;105.0;201148159.0;95000000;7.0;56000;Color;PG;USA;English
337;135.0;43982842.0;65000000;6.7;16000;Color;PG-13;USA;English
338;100.0;380838870.0;94000000;8.2;11000;Color;G;USA;English
339;192.0;377019252.0;94000000;8.9;16000;Color;PG-13;USA;English
340;172.0;340478898.0;94000000;8.7;10000;Color;PG-13;USA;English
341;102.0;17176900.0;95000000;5.5;16000;Color;PG-13;USA;English
342;100.0;131144183.0;115000000;5.7;0;Color;PG-13;USA;English
343;119.0;23014504.0;100000000;6.3;37000;Color;PG-13;UK;English
344;92.0;181166115.0;93000000;5.9;0;Color;PG-13;USA;English
345;105.0;176740650.0;93000000;7.6;47000;Color;PG-13;USA;English
346;107.0;71148699.0;90000000;6.6;0;Color;PG;USA;English
347;101.0;67344392.0;92000000;5.3;66000;Color;R;USA;English
348;137.0;22406362.0;107000000;6.0;701;Color;PG-13;USA;English
349;115.0;261437578.0;92000000;8.0;0;Color;PG;USA;English
350;124.0;11000000.0;98000000;5.6;1000;Color;PG-13;USA;English
351;118.0;88761720.0;95000000;5.9;9000;Color;PG;UK;English
352;98.0;250147615.0;90000000;7.3;0;Color;PG-13;USA;English
353;82.0;245823397.0;90000000;7.9;0;Color;G;USA;English
354;98.0;81557479.0;100000000;6.8;18000;Color;PG-13;USA;English
355;90.0;226138454.0;90000000;6.6;0;Color;PG-13;USA;English
356;130.0;155370362.0;100000000;6.6;0;Color;PG-13;USA;English
357;90.0;124870275.0;100000000;7.0;0;Color;PG;USA;English
358;94.0;196573705.0;90000000;7.0;0;Color;PG;USA;English
359;114.0;58229120.0;90000000;7.3;70000;Color;PG;USA;English
360;94.0;125305545.0;92000000;5.5;0;Color;PG-13;USA;English
361;151.0;132373442.0;90000000;8.5;29000;Color;R;USA;English
362;88.0;120618403.0;90000000;7.5;12000;Color;G;USA;English
363;121.0;110416702.0;92000000;7.0;0;Color;R;USA;English
364;158.0;102515793.0;90000000;7.8;54000;Color;R;USA;English
365;128.0;100012500.0;90000000;7.6;0;Color;R;USA;English
366;128.0;209019489.0;90000000;7.6;20000;Color;PG-13;USA;English
368;95.0;84037039.0;120000000;6.8;0;Color;PG;USA;English
369;92.0;85884815.0;90000000;5.0;0;Color;PG;USA;English
370;121.0;83077470.0;75000000;7.1;0;Color;PG-13;USA;English
371;113.0;100018837.0;90000000;5.5;0;Color;PG-13;USA;English
372;106.0;78747585.0;88000000;5.6;39000;Color;PG-13;USA;English
373;146.0;78616689.0;100000000;7.1;11000;Color;PG-13;USA;English
374;88.0;75817994.0;90000000;4.9;988;Color;PG;USA;English
375;150.0;100853835.0;90000000;7.4;15000;Color;PG;USA;English
376;119.0;73209340.0;95000000;5.7;0;Color;R;USA;English
377;128.0;72515360.0;80000000;6.4;0;Color;PG-13;UK;Aboriginal
378;106.0;68558662.0;90000000;5.9;28000;Color;PG;USA;English
379;117.0;65653758.0;95000000;5.5;0;Color;PG-13;USA;English
380;129.0;64685359.0;90000000;6.9;15000;Color;PG-13;USA;English
381;116.0;61355436.0;68000000;6.2;0;Color;PG-13;USA;English
382;114.0;26871.0;92000000;7.0;0;Color;R;Germany;English
383;114.0;60874615.0;90000000;5.6;0;Color;PG;USA;English
384;96.0;143618384.0;90000000;7.0;19000;Color;G;USA;English
385;132.0;58220776.0;100000000;6.8;0;Color;PG;USA;English
386;104.0;47474112.0;90000000;5.4;2000;Color;PG-13;USA;English
387;111.0;42877165.0;86000000;6.1;979;Color;R;USA;English
388;138.0;35168677.0;100000000;6.7;0;Color;PG-13;UK;English
389;100.0;56114221.0;120000000;4.3;41000;Color;PG-13;USA;English
390;129.0;37567440.0;20000000;6.9;0;Color;R;USA;English
391;144.0;61644321.0;88000000;8.0;0;Color;PG-13;USA;English
392;110.0;190562.0;90000000;4.4;788;Color;PG;UK;English
393;140.0;120147445.0;87000000;7.3;0;BlackandWhite;PG-13;USA;English
394;113.0;241688385.0;92000000;6.3;0;Color;PG-13;USA;English
395;106.0;144512310.0;38000000;6.7;14000;Color;PG-13;USA;English
396;143.0;233630478.0;90000000;7.7;23000;Color;PG-13;USA;English
397;108.0;197992827.0;100000000;6.5;0;Color;PG;USA;English
398;108.0;176049130.0;75000000;7.8;0;Color;PG-13;USA;English
399;124.0;172620724.0;85000000;6.4;0;Color;R;USA;English
400;116.0;183405771.0;85000000;7.8;0;Color;PG-13;USA;English
401;110.0;20315324.0;75000000;5.8;19000;Color;PG-13;Germany;English
402;91.0;148313048.0;85000000;7.1;28000;Color;PG;USA;English
403;107.0;127706877.0;85000000;7.1;0;Color;PG;USA;English
405;115.0;126149655.0;85000000;6.8;19000;Color;R;USA;English
406;100.0;66941559.0;85000000;4.8;372;Color;G;USA;English
407;104.0;78009155.0;75000000;6.2;0;Color;PG-13;USA;English
408;138.0;63224849.0;85000000;6.9;19000;Color;PG-13;USA;English
409;140.0;111544445.0;90000000;7.3;0;Color;R;USA;English
410;120.0;112703470.0;85000000;6.6;0;Color;R;USA;English
411;122.0;117144465.0;85000000;6.9;0;Color;PG-13;USA;English
412;83.0;84303558.0;85000000;6.2;863;Color;PG;USA;English
413;139.0;150832203.0;85000000;6.7;49000;Color;PG-13;USA;English
414;131.0;51396781.0;68000000;7.6;0;Color;R;USA;English
415;104.0;47592825.0;85000000;6.7;0;Color;PG-13;USA;English
